field,type,is_ascii,sum,min,max,range,min_length,max_length,mean,sem,stddev,variance,cv,nullcount,max_precision,sparsity,mad,lower_outer_fence,lower_inner_fence,q1,q2_median,q3,iqr,upper_inner_fence,upper_outer_fence,skewness,cardinality,mode,mode_count,mode_occurrences,antimode,antimode_count,antimode_occurrences
Unique Key,Integer,,32687965858032,11465364,48478173,37012809,8,8,32687965.858,9013.8953,9013895.3358,81250309125279.6094,27.5756,0,,0,7603611.5,-19639208.5,2803282.25,25245773,32853358.5,40207433.5,14961660.5,62649924.25,85092415,-0.0169,1000000,,0,0,*ALL,0,1
Created Date,DateTime,,,2010-01-01T00:00:00+00:00,2020-12-23T01:25:51+00:00,4009.05962,,,2015-11-10T18:05:22.615+00:00,1.15502,1155.01606,1334062.09198,6.8957,0,,0,967.27304,1997-01-08T17:56:34.500+00:00,2005-02-08T08:58:19.500+00:00,2013-03-11T00:00:04.500+00:00,2016-02-12T13:16:49+00:00,2018-07-31T10:01:14.500+00:00,1968.41748,2026-08-31T01:02:59.500+00:00,2034-09-30T16:04:44.500+00:00,-0.0857,841014,01/24/2013 12:00:00 AM,1,347,"*PREVIEW: 01/01/2010 01:05:51 PM,01/01/2010 01:07:31 AM,01/01/2010 01:15:21 AM,01/01/2010 01:25:40 A...",824248,1
Closed Date,DateTime,,,1900-01-01T00:00:00+00:00,2100-01-01T00:00:00+00:00,73049,,,2015-11-14T10:16:16.743+00:00,1.33393,1314.70016,1728436.50813,7.8474,28619,,0.0286,956.81015,1997-04-12T11:33:24.500+00:00,2005-04-09T10:53:21.500+00:00,2013-04-06T10:13:18.500+00:00,2016-02-26T01:40:00+00:00,2018-08-04T09:46:36.500+00:00,1945.98146,2026-08-01T09:06:33.500+00:00,2034-07-29T08:26:30.500+00:00,-0.0849,688837,,1,28619,"*PREVIEW: 01/01/2010 01:50:45 PM,01/01/2010 02:05:02 PM,01/01/2010 02:10:00 PM,01/01/2010 02:23:20 P...",653948,1
Agency,String,false,,3-1-1,TLC,,3,42,,,,,,0,,0,,,,,,,,,,,28,NYPD,1,265116,"DORIS,FDNY,MOC",3,1
Agency Name,String,false,,3-1-1,Valuation Policy,,3,82,,,,,,0,,0,,,,,,,,,,,553,New York City Police Department,1,265038,"*PREVIEW: 3-1-1,DOE,DPR,Fire Department of New York,MOC,Municipal Archives,NYPD,School - ACE Academy...",332,1
Complaint Type,String,true,,../../WEB-INF/web.xml;x=,ZTESTINT,,3,41,,,,,,0,,0,,,,,,,,,,,287,Noise - Residential,1,89439,"*PREVIEW: ../../WEB-INF/web.xml;x=,Advocate - RPIE,Advocate-Business Tax,Advocate-Property Value,Adv...",20,1
Descriptor,String,true,,1 Missed Collection,unknown odor/taste in drinking water (QA6),,0,80,,,,,,3001,,0.003,,,,,,,,,,,1392,Loud Music/Party,1,93646,"*PREVIEW: 12P Dead Deer,15N Needle/Syringe on Street/Sidewalk,4 DSNY Spillage,ABANDONED APARTMENT UN...",137,1
Location Type,String,true,,"1-, 2- and 3- Family Home",Wooded Area,,0,36,,,,,,239131,,0.2391,,,,,,,,,,,162,RESIDENTIAL BUILDING,1,255562,"Correctional Facility - State,Ground,Health Club or Gym,Horse Stable,Pvt Residnt Proprty,School - K-...",8,1
Incident Zip,String,true,,*,XXXXX,,0,10,,,,,,54978,,0.055,,,,,,,,,,,535,,1,54978,"*PREVIEW: *,0000,00881,01748-9100,01810-1008,02061,02062,02109,02250-5126,02346",230,1
Incident Address,String,true,,* *,west 155 street and edgecombe avenue,,0,55,,,,,,174700,,0.1747,,,,,,,,,,,341996,,1,174700,"*PREVIEW: * *,- 3 BREWSTER ROAD,----------- ----------,-999 108 ST,-999 132 ST E,-999 135 AVE,-999 1...",220179,1
